time,tau,omega_2
0,0,0.183388754
0.25,0,-0.3023056
0.5,0,0.103111478
0.75,0,0.083262932
1,0,-0.080064058
1.25,0,0.121914102
1.5,0,-0.473845041
1.75,0,0.366391048
2,0,-0.187551857
2.075496122,0,0.085928248
2.150992244,0,0.122489688
2.226488365,0,-0.326082896
2.301984487,0,-0.09469353
2.377480609,0,-0.329537803
2.452976731,0,0.155620915
2.528472853,0,0.01567568
2.603968974,0,0.242722558
2.655122907,0,-0.19822483
2.70627684,0,0.178885066
2.757430773,0,0.050091384
2.808584706,0,-0.030786506
2.829502843,0,0.223597215
2.850420979,0,-0.304554071
2.871339116,0,-0.111130537
2.892257252,0,-0.081153273
2.913175389,0,-0.178264635
2.934093525,0,-0.099412223
2.955011662,0,0.454862101
2.975929798,0,0.11265185
2.979574309,0,0.053435401
2.98321882,0,0.038728227
2.986863331,0,-0.052526289
2.990507842,0,0.021634684
2.994152352,0,0.13748064
2.997796863,0,-0.026322467
3.001441374,1000,-0.29624374
3.005085885,1000,0.125909689
3.008655321,1000,-0.291526252
3.012224757,1000,0.051940889
3.015794193,1000,0.14500862
3.019363628,1000,-0.095123259
3.037210808,1000,0.094174931
3.055057987,1000,0.347429583
3.072905166,1000,0.022443756
3.090752345,1000,-0.025150923
3.179988241,1000,0.24818518
3.269224137,1000,-0.120573144
3.358460033,1000,0.332379028
3.447695929,1000,0.379920822
3.697695929,1000,0.045090744
3.947695929,1000,0.122898516
4.197695929,1000,-0.198069435
4.447695929,1000,-0.012396276
4.697695929,1000,0.354573734
4.947695929,1000,0.070102183
5.197695929,1000,-0.015114151
5.447695929,1000,0.392353921
5.697695929,1000,-0.059805369
5.947695929,1000,0.021507676
6.197695929,1000,0.038659331
6.447695929,1000,0.359731751
6.697695929,1000,0.208095038
6.947695929,1000,-0.006512655
7.197695929,1000,0.24520957
7.447695929,1000,0.013097471
7.697695929,1000,0.506638851
7.947695929,1000,-0.294760579
8.197695929,1000,0.262031558
8.447695929,1000,0.426282079
8.697695929,1000,0.239142285
8.947695929,1000,0.025599792
9.197695929,0,0.483189411
9.447695929,0,0.227945771
9.668169157,0,0.513685591
9.888642384,0,0.348598459
10.10911561,0,0.556579824
10.32958884,0,0.438536798
10.57958884,0,0.701031072
